# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Fiordland Expeditions
# Property: Fiordland Expeditions
# ----------------------------------------
# 
# All Users
# Start date: 20250601
# End date: 20250630
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Search,1335,1053,0.7887640449438202,69.77228464419476,13.976779026217228,18659,31,0.020973782771535582,31992.999999
Direct,364,200,0.5494505494505495,42.370879120879124,10.964285714285714,3991,4,0.01098901098901099,4060.000002
Referral,39,26,0.6666666666666666,38.51282051282051,24.82051282051282,968,3,0.07692307692307693,1994.999999
Organic Social,32,23,0.71875,49.875,10.03125,321,2,0.03125,0
Organic Video,13,8,0.6153846153846154,33.38461538461539,10.076923076923077,131,1,0.07692307692307693,2020
Unassigned,12,2,0.16666666666666666,60.333333333333336,36.666666666666664,440,1,0.08333333333333333,2065
Organic Shopping,2,1,0.5,107.5,5,10,0,0,0

# All Users
# Start date: 20240601
# End date: 20240630
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Search,1153,933,0.8091934084995663,81.26539462272333,30.919340849956633,35650,66,0.05290546400693842,0
Direct,351,208,0.5925925925925926,47.89173789173789,38.65242165242165,13567,13,0.03133903133903134,0
Referral,115,78,0.6782608695652174,98.16521739130435,20.469565217391306,2354,2,0.017391304347826087,0
Organic Social,51,41,0.803921568627451,38.90196078431372,35.35294117647059,1803,2,0.0392156862745098,0
Organic Video,34,28,0.8235294117647058,77.76470588235294,33.029411764705884,1123,0,0,0
Unassigned,21,0,0,0.47619047619047616,441.1904761904762,9265,0,0,0
Organic Shopping,0,0,0,0,0,0,0,0,0
